                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 3 2018                               
                        UCC -dir hadoop-0.16.0 -outdir out/hadoop-0.16.0-ucc                        

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
54,7,23,0,2,2,13,17,24,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/ReturnMsg.java
110,12,28,0,8,11,36,55,70,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/SchemaModificationCommand.java
385,39,51,0,25,29,157,211,295,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/SelectCommand.java
81,8,23,0,6,4,28,38,50,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/ShowCommand.java
63,6,47,0,4,4,1,9,10,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/TableFormatter.java
83,6,40,0,7,4,15,26,37,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/TableFormatterFactory.java
86,11,22,2,10,1,30,41,53,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/hql/TruncateCommand.java
1920,174,690,7,27,65,585,677,1056,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HRegion.java
333,45,105,0,7,17,109,133,183,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HRegionInfo.java
229,21,165,0,7,16,1,24,43,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HRegionInterface.java
94,9,46,0,1,4,20,25,39,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HRegionLocation.java
1770,186,315,5,47,69,721,837,1269,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HRegionServer.java
55,4,38,0,7,2,1,10,13,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HScannerInterface.java
179,22,70,0,6,10,46,62,87,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HServerAddress.java
158,19,53,0,5,5,52,62,86,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HServerInfo.java
136,20,62,2,5,4,30,39,54,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HServerLoad.java
2532,266,716,9,35,94,867,996,1550,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HStore.java
878,78,274,0,24,32,263,319,526,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HStoreFile.java
353,36,158,1,5,10,90,105,159,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HStoreKey.java
1222,109,433,0,23,31,389,443,680,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HTable.java
259,29,85,0,14,12,73,99,145,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/HTableDescriptor.java
41,3,27,0,2,1,5,8,11,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/InvalidColumnNameException.java
110,12,53,0,6,4,24,34,45,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/io/BatchOperation.java
162,18,76,0,8,6,37,51,68,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/io/BatchUpdate.java
204,33,51,0,15,7,63,85,120,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/io/HbaseMapWritable.java
347,29,56,31,25,12,170,207,262,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/io/HbaseObjectWritable.java
218,25,83,1,8,7,56,71,110,CODE,hadoop-0.16.0/src/contrib/hbase/src/java/org/apache/hadoop/hbase/io/ImmutableBytesWritable.java
