                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                                 UCC -outdir ucc -dir hadoop-0.2.0                                 

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
125,12,35,1,4,7,47,58,78,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/dfs/MiniDFSCluster.java
65,6,8,0,6,2,35,43,51,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/dfs/TestLocalDFS.java
81,7,20,0,10,5,26,41,54,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/fs/AccumulatingReducer.java
324,40,43,1,11,39,143,193,241,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/fs/DistributedFSCheck.java
113,11,42,0,13,12,18,43,60,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/fs/IOMapperBase.java
430,45,78,2,9,43,168,220,307,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/fs/TestDFSIO.java
439,93,23,1,9,53,199,261,323,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/fs/TestFileSystem.java
79,11,14,0,4,2,42,48,54,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/fs/TestLocalFileSystem.java
97,9,15,0,3,0,58,61,73,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/fs/TestPath.java
102,19,17,0,3,10,41,54,66,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/io/RandomDatum.java
149,19,18,3,6,8,74,88,112,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/io/TestArrayFile.java
68,6,8,0,2,5,35,42,54,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/io/TestBytesWritable.java
70,14,20,0,5,2,26,33,36,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/io/TestMD5Hash.java
287,45,20,1,7,19,150,176,222,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/io/TestSequenceFile.java
136,19,18,1,7,9,63,79,99,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/io/TestSetFile.java
84,18,23,0,3,7,25,35,43,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/io/TestUTF8.java
177,51,23,4,4,9,72,85,103,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/io/TestVersionedWritable.java
75,15,20,0,4,2,27,33,40,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/io/TestWritable.java
224,35,19,2,11,12,101,124,170,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/ipc/TestIPC.java
169,39,19,0,12,14,82,108,111,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/ipc/TestRPC.java
442,37,183,0,7,25,140,172,222,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/mapred/TestMapRed.java
115,17,28,0,8,8,36,52,70,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/mapred/TestSequenceFileInputFormat.java
109,16,28,0,8,8,34,50,65,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/mapred/TestTextInputFormat.java
124,10,19,0,11,0,71,82,95,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/record/test/FromCpp.java
95,1,1,0,1,6,69,76,93,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/record/test/RecBuffer.java
96,1,1,0,1,6,70,77,94,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/record/test/RecInt.java
96,1,1,0,1,6,70,77,94,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/record/test/RecRecord0.java
331,1,1,0,1,26,282,309,329,CODE,hadoop-0.2.0/src/test/org/apache/hadoop/record/test/RecRecord1.java
