                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2016 University of Southern California                    

                                         SLOC COUNT RESULTS                                         
                               Generated by UCC v.2017.01 on 5 1 2018                               
                             UCC -outdir ucc -dir apache-log4j-2.1-src/                             

                                       RESULTS FOR Java FILES                                       

Total,Blank,Comments,,Compiler,Data,Exec.,Logical,Physical,File,Module
Lines,Lines,Whole,Embedded,Direct.,Decl.,Instr.,SLOC,SLOC,Type,Name
78,9,33,0,7,3,14,24,36,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/Property.java
25,2,19,0,1,0,2,3,4,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/Reconfigurable.java
21,1,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/status/package-info.java
224,22,73,0,15,12,70,97,129,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/status/StatusConfiguration.java
20,0,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/xml/package-info.java
340,23,40,0,38,21,155,214,277,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/xml/XmlConfiguration.java
55,5,31,0,6,0,6,12,19,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/xml/XmlConfigurationFactory.java
20,0,19,0,1,0,0,1,1,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/yaml/package-info.java
39,7,16,0,6,1,5,12,16,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/yaml/YamlConfiguration.java
73,10,19,0,7,1,18,26,44,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/config/yaml/YamlConfigurationFactory.java
47,4,37,0,1,3,1,5,6,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/ErrorHandler.java
171,16,76,0,8,5,37,50,79,CODE,apache-log4j-2.1-src//log4j-core/src/main/java/org/apache/logging/log4j/core/filter/AbstractFilter.java
